"signature","group","OR","p","n_in_grp_present","FDR"
"InsDel4","Prostate",0.26128312721275,6.29771385222091e-15,25,5.87786626207285e-14
"InsDel5a","Prostate",2.6550305350697,5.33084120471666e-26,225,8.95581322392399e-25
"InsDel5b","Prostate",1.66677829725723,0.141670095210536,10,0.252124745713666
"InsDel5c","Prostate",0.873705550575129,0.787789207091905,14,0.875321341213228
"InsDel6","Prostate",1.15412778334762,0.280529786594937,76,0.428445492254086
"InsDel7","Prostate",1.86367698450211,0.00692893183688674,27,0.0195312172583384
"InsDel8","Prostate",0.304003322768734,2.6519424098873e-06,12,1.25147844062097e-05
"InsDel9","Prostate",0.935264582959527,0.590304121315844,109,0.729199208684278
"InsDel10","Prostate",0.552393128873663,0.0630577649658562,11,0.135123782069692
"InsDel11","Prostate",2.913713402034,0.00616765745665955,10,0.017989000915257
"InsDel12","Prostate",12.3747830759088,1.05193847492553e-29,54,1.92093112812489e-28
"InsDel13","Prostate",0.0750241733713439,1.13949701278672e-12,3,9.02997632774382e-12
"InsDel14","Prostate",0.202131428065897,1.38157830540988e-08,8,8.05920678155764e-08
"InsDel17","Prostate",0.7603871882176,0.814932579360581,4,0.893088597670612
"InsDel18","Prostate",0.438813816590563,0.142437254977201,4,0.25242045185833
"InsDel19a","Prostate",2.41848776402894,0.00341657015616515,16,0.0108709050423437
"InsDel19b","Prostate",0.770564938845967,0.0032826496567719,192,0.0105245256171313
"InsDel23","Prostate",1.52271403714398,0.182105663819356,11,0.312181137976039
"InsDel_A_alpha","Prostate",0.119984619194824,2.82462850380045e-07,3,1.44676094097096e-06
"InsDel_A_beta","Prostate",0.167479758549122,8.32848622730031e-05,3,0.000329996624100578
"InsDel_B","Prostate",1.01850620942568,0.875319274336694,125,0.940240652740183
"InsDel_C","Prostate",0.794440983659632,0.814323891867814,4,0.893088597670612
"InsDel_D","Prostate",2.85429912707393,9.87513034012025e-08,42,5.45730887217172e-07
"InsDel_E","Prostate",1.03312752066579,0.857962918260578,9,0.926335284497283
"InsDel_F","Prostate",1.07498682117612,0.854356633210436,9,0.926335284497283
"InsDel_G","Prostate",0,0.00562904357061511,0,0.0165328552423661
"InsDel_H","Prostate",0.189294590336665,0.0859057288427194,1,0.174301478811315
"InsDel_I","Prostate",0,0.249624805499162,0,0.406365962440497
"InsDel_J","Prostate",1.91005302864873,0.0121488899358565,20,0.0322945175510108
"InsDel_K","Prostate",1.34391410365331,0.498525433091911,3,0.637121063415516
"InsDel_L","Prostate",0.638293313278417,0.76341503864037,2,0.861920204916546
"InsDel_M","Prostate",1.99435732172791,0.270771113812895,4,0.421832775370549
